Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D6.3mm_P2.50mm,1,10u,
"C2, C5",0805,2,10u,
"C6, C8",0603,2,100n,
C7,1206,1,4.7u,
"D1, D2",0603,2,Green,
J1,DIN41612_B2_2x16_Male_Horizontal_THT,1,Conn_02x16_Row_Letter_First,
J10,IDC-Header_2x13_P2.54mm_Latch_Horizontal,1,Conn_01x26_Pin,
J11,SAMTEC_SHF-105-01-L-D-SM-K-TR,1,Conn_ARM_JTAG_SWD_10,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J4, J7","TerminalBlock_Phoenix_SMKDSN-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
"J5, J6, J8, J9","TerminalBlock_Phoenix_SMKDSN-1,5-10-5.08_1x10_P5.08mm_Horizontal",4,Screw_Terminal_01x10,
"R1, R10, R11, R12, R13, R14, R15, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R7, R8",0603,51,330R,
"R16, R17, R40, R41",2512,4,2m,
"R2, R3, R4, R9",0603,4,10k,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,6,TestPoint,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U43, U44, U45, U46, U47, U5, U6, U7, U8, U9",DIP-4_W7.62mm,44,TLP3558A,
U2,TO-252-2,1,NCP1117-3.3_TO252,
U3,LQFP-32_7x7mm_P0.8mm,1,STM32G070KBT6,
