Designator,Mid X,Mid Y,Rotation,Layer
C1,38.4,-93.76,90.0,top
C2,41.91,-100.65,90.0,top
C5,41.91,-97.028,270.0,top
C6,41.45,-83.235,270.0,top
C7,40.3352,-79.375,90.0,top
C8,42.544,-80.21,270.0,top
D1,44.558,-111.3,90.0,top
D2,48.114,-111.3,90.0,top
J1,30.7,-101.60508,90.0,top
J10,56.4,-67.28,0.0,top
J2,46.754,-70.18,180.0,top
J3,45.25,-88.31,0.0,top
J4,190.5,-57.404,0.0,top
J5,138.43,-57.404,0.0,top
J6,86.36,-57.404,0.0,top
J7,195.58,-107.696,180.0,top
J8,184.15,-107.696,180.0,top
J9,132.08,-107.696,180.0,top
R1,35.55,-82.06,90.0,top
R10,48.114,-107.744,270.0,top
R11,42.95,-84.835,90.0,top
R12,186.944,-75.946,180.0,top
R13,192.024,-75.946,180.0,top
R14,180.594,-75.946,180.0,top
R15,128.524,-75.946,180.0,top
R16,181.61,-62.484,0.0,bottom
R17,129.54,-62.484,0.0,bottom
R18,175.514,-75.946,180.0,top
R19,123.444,-75.946,180.0,top
R2,37.338,-77.47,270.0,top
R20,170.434,-75.946,180.0,top
R21,118.364,-75.946,180.0,top
R22,165.354,-75.946,180.0,top
R23,113.284,-75.946,180.0,top
R24,160.274,-75.946,180.0,top
R25,108.204,-75.946,180.0,top
R26,155.194,-75.946,180.0,top
R27,103.124,-75.946,180.0,top
R28,150.114,-75.946,180.0,top
R29,98.044,-75.946,180.0,top
R3,37.338,-72.39,270.0,top
R30,145.034,-75.946,180.0,top
R31,92.964,-75.946,180.0,top
R32,139.954,-75.946,180.0,top
R33,87.884,-75.946,180.0,top
R34,134.874,-75.946,180.0,top
R35,82.804,-75.946,180.0,top
R36,189.484,-89.154,180.0,top
R37,194.564,-89.154,180.0,top
R38,183.134,-89.154,180.0,top
R39,131.064,-89.154,180.0,top
R4,37.338,-67.31,270.0,top
R40,181.61,-102.616,0.0,bottom
R41,129.54,-102.616,0.0,bottom
R42,178.054,-89.154,180.0,top
R43,125.984,-89.154,180.0,top
R44,172.974,-89.154,180.0,top
R45,120.904,-89.154,180.0,top
R46,167.894,-89.154,180.0,top
R47,115.824,-89.154,180.0,top
R48,162.814,-89.154,180.0,top
R49,110.744,-89.154,180.0,top
R5,41.402,-66.548,180.0,top
R50,157.734,-89.154,180.0,top
R51,105.664,-89.154,180.0,top
R52,152.654,-89.154,180.0,top
R53,100.584,-89.154,180.0,top
R54,147.574,-89.154,180.0,top
R55,95.504,-89.154,180.0,top
R56,142.494,-89.154,180.0,top
R57,90.424,-89.154,180.0,top
R58,137.414,-89.154,180.0,top
R59,85.344,-89.154,180.0,top
R6,41.402,-68.072,180.0,top
R7,41.402,-69.596,180.0,top
R8,44.558,-107.744,270.0,top
R9,41.402,-64.96,180.0,top
TP1,36.819,-87.169,0.0,top
TP2,33.9,-107.18,0.0,top
TP3,33.9,-112.26,0.0,top
TP4,38.1,-55.88,0.0,top
TP5,43.15,-55.88,0.0,top
TP6,48.2,-55.88,0.0,top
U10,171.45,-73.66,90.0,top
U11,119.38,-73.66,90.0,top
U12,166.37,-73.66,90.0,top
U13,114.3,-73.66,90.0,top
U14,161.29,-73.66,90.0,top
U15,109.22,-73.66,90.0,top
U16,156.21,-73.66,90.0,top
U17,104.14,-73.66,90.0,top
U18,151.13,-73.66,90.0,top
U19,99.06,-73.66,90.0,top
U2,49.54,-100.585,0.0,top
U20,146.05,-73.66,90.0,top
U21,93.98,-73.66,90.0,top
U22,140.97,-73.66,90.0,top
U23,88.9,-73.66,90.0,top
U24,135.89,-73.66,90.0,top
U25,83.82,-73.66,90.0,top
U26,190.5,-91.44,270.0,top
U27,195.58,-91.44,270.0,top
U28,184.15,-91.44,270.0,top
U29,132.08,-91.44,270.0,top
U3,48.9,-79.96,0.0,top
U30,179.07,-91.44,270.0,top
U31,127.0,-91.44,270.0,top
U32,173.99,-91.44,270.0,top
U33,121.92,-91.44,270.0,top
U34,168.91,-91.44,270.0,top
U35,116.84,-91.44,270.0,top
U36,163.83,-91.44,270.0,top
U37,111.76,-91.44,270.0,top
U38,158.75,-91.44,270.0,top
U39,106.68,-91.44,270.0,top
U4,187.96,-73.66,90.0,top
U40,153.67,-91.44,270.0,top
U41,101.6,-91.44,270.0,top
U42,148.59,-91.44,270.0,top
U43,96.52,-91.44,270.0,top
U44,143.51,-91.44,270.0,top
U45,91.44,-91.44,270.0,top
U46,138.43,-91.44,270.0,top
U47,86.36,-91.44,270.0,top
U5,193.04,-73.66,90.0,top
U6,181.61,-73.66,90.0,top
U7,129.54,-73.66,90.0,top
U8,176.53,-73.66,90.0,top
U9,124.46,-73.66,90.0,top
